CUSTOMER NAME,CEE
CUSTOMER CONTACT,Morning

PRODUCT NAME,QUANTITY,RATE(GHc),TOTAL(Ghc)
LADINAS,1,7,7
NAPROXEN TAB,5,3,15
GEBEDOL,1,5,5
KWIK ACTION,1,2,2
PARACETAMOL TAB,1,2,2
GENTAMYCIN  EYE AND EAR DROP,1,6,6
LIBRUM,1,3,3
METRONIDAZOLE 200MG,1,1.5,1.5
FLUCLOXACILLIN CAPS 250MG,1,6.5,6.5
GEBEDOL,1,5,5
METHYLATED SPIRIT 60ML,1,4,4
LADINAS,1,7,7
PREGNANCY TEST KIT,1,3,3
PARACETAMOL TAB,1,2,2
PENICILLIN V 125,1,3,3
COLDRILIF,1,8,8
COLDRILIF,1,8,8
ADOM KOO CAPS,3,1,3
COLDRILIF,1,8,8
FENBASE,1,6,6
LYDIA POSTPILL,1,15.5,15.5
SUPER APETI,1,3.5,3.5
PARACETAMOL TAB,1,2,2
CITRO-C,1,3.5,3.5
AMOXACILLIN CAP 250MG,1,4,4
PARACETAMOL TAB,1,2,2
LETACAM,1,1.7,1.7
PINPAC GEL,1,8,8
LIBRUM,2,3,6
COTTON,1,1,1
GOGYNAX TAB,1,5,5
LOPERAMIDE,1,3,3
ALUMINIUM HYDROXIDE,3,2,6
PARACETAMOL TAB,3,2,6
BRUFEN 400MG,2,1.5,3
PANACIN,1,3,3
CITRO-C,1,3.5,3.5
ENACEF,1,22,22
METROLEX F,1,30,30

TOTAL,,,Ghc 233.70
